Condition,RT_response,correct,practice,problem_type,subject_nr,trial
Progressive,1650,1,no,1,1,5
Progressive,1378,1,no,1,1,6
Progressive,1428,1,no,1,1,7
Progressive,1395,1,no,1,1,8
Progressive,1468,1,no,1,1,9
Progressive,1430,1,no,1,1,10
Progressive,1657,1,no,1,1,11
Progressive,1466,1,no,1,1,12
Progressive,1801,1,no,1,1,13
Progressive,1385,1,no,1,1,14
Progressive,2963,1,no,2,1,15
Progressive,1545,1,no,2,1,16
Progressive,2175,1,no,2,1,17
Progressive,1646,1,no,2,1,18
Progressive,2596,1,no,2,1,19
Progressive,2173,1,no,2,1,20
Progressive,1747,1,no,2,1,21
Progressive,1882,1,no,2,1,22
Progressive,2033,1,no,2,1,23
Progressive,2336,1,no,2,1,24
Progressive,2081,1,no,3,1,25
Progressive,1913,1,no,3,1,26
Progressive,1425,1,no,3,1,27
Progressive,2212,1,no,3,1,28
Progressive,2242,1,no,3,1,29
Progressive,1532,1,no,3,1,30
Progressive,1769,1,no,3,1,31
Progressive,2170,1,no,3,1,32
Progressive,1230,1,no,3,1,33
Progressive,1614,1,no,3,1,34
Progressive,1605,1,no,4,1,35
Progressive,1525,1,no,4,1,36
Progressive,1658,1,no,4,1,37
Progressive,2116,1,no,4,1,38
Progressive,1530,1,no,4,1,39
Progressive,2214,1,no,4,1,40
Progressive,1651,1,no,4,1,41
Progressive,1897,1,no,4,1,42
Progressive,1381,1,no,4,1,43
Progressive,1628,1,no,4,1,44
Progressive,3122,0,no,5,1,45
Progressive,4005,1,no,5,1,46
Progressive,3136,1,no,5,1,47
Progressive,2370,1,no,5,1,48
Progressive,3455,1,no,5,1,49
Progressive,2394,1,no,5,1,50
Progressive,3182,1,no,5,1,51
Progressive,2795,1,no,5,1,52
Progressive,2040,1,no,5,1,53
Progressive,2969,1,no,5,1,54
Randomised,1454,1,no,1,1,5
Randomised,1657,1,no,4,1,6
Randomised,1771,1,no,2,1,7
Randomised,2714,1,no,3,1,8
Randomised,3790,1,no,5,1,9
Randomised,1445,1,no,1,1,10
Randomised,1548,1,no,2,1,11
Randomised,5001,0,no,5,1,12
Randomised,1876,1,no,3,1,13
Randomised,1357,1,no,4,1,14
Randomised,1820,1,no,2,1,15
Randomised,1180,1,no,1,1,16
Randomised,4939,1,no,5,1,17
Randomised,1495,1,no,4,1,18
Randomised,1489,1,no,3,1,19
Randomised,1699,1,no,3,1,20
Randomised,1361,1,no,1,1,21
Randomised,2624,1,no,4,1,22
Randomised,3013,1,no,2,1,23
Randomised,1880,1,no,5,1,24
Randomised,3196,1,no,5,1,25
Randomised,1939,1,no,2,1,26
Randomised,1456,1,no,4,1,27
Randomised,3087,0,no,3,1,28
Randomised,1512,1,no,1,1,29
Randomised,2427,1,no,5,1,30
Randomised,2050,1,no,2,1,31
Randomised,1711,1,no,1,1,32
Randomised,1424,1,no,3,1,33
Randomised,1443,1,no,4,1,34
Randomised,1389,1,no,1,1,35
Randomised,1806,1,no,4,1,36
Randomised,3014,1,no,5,1,37
Randomised,1784,1,no,2,1,38
Randomised,1298,1,no,3,1,39
Randomised,1186,1,no,1,1,40
Randomised,3576,1,no,3,1,41
Randomised,1269,1,no,4,1,42
Randomised,1753,0,no,2,1,43
Randomised,2730,0,no,5,1,44
Randomised,1788,1,no,3,1,45
Randomised,1758,1,no,4,1,46
Randomised,2396,1,no,1,1,47
Randomised,4982,0,no,5,1,48
Randomised,2209,1,no,2,1,49
Randomised,2001,1,no,4,1,50
Randomised,1406,1,no,3,1,51
Randomised,2578,1,no,5,1,52
Randomised,1246,1,no,1,1,53
Randomised,2412,1,no,2,1,54
Progressive,1253,1,no,1,2,5
Progressive,703,1,no,1,2,6
Progressive,1103,1,no,1,2,7
Progressive,1129,1,no,1,2,8
Progressive,790,1,no,1,2,9
Progressive,1036,1,no,1,2,10
Progressive,878,1,no,1,2,11
Progressive,728,1,no,1,2,12
Progressive,1559,1,no,1,2,13
Progressive,782,1,no,1,2,14
Progressive,2790,1,no,2,2,15
Progressive,1165,1,no,2,2,16
Progressive,1380,1,no,2,2,17
Progressive,1799,1,no,2,2,18
Progressive,2749,1,no,2,2,19
Progressive,1982,1,no,2,2,20
Progressive,1324,1,no,2,2,21
Progressive,2178,1,no,2,2,22
Progressive,1309,1,no,2,2,23
Progressive,988,1,no,2,2,24
Progressive,1911,1,no,3,2,25
Progressive,979,1,no,3,2,26
Progressive,1238,1,no,3,2,27
Progressive,1734,1,no,3,2,28
Progressive,1398,1,no,3,2,29
Progressive,1638,0,no,3,2,30
Progressive,1262,1,no,3,2,31
Progressive,1521,1,no,3,2,32
Progressive,1265,1,no,3,2,33
Progressive,1532,1,no,3,2,34
Progressive,2204,1,no,3,2,35
Progressive,1690,1,no,3,2,36
Progressive,1394,1,no,4,2,37
Progressive,1346,1,no,4,2,38
Progressive,2040,0,no,4,2,39
Progressive,869,1,no,4,2,40
Progressive,1792,1,no,4,2,41
Progressive,1361,1,no,4,2,42
Progressive,1213,1,no,4,2,43
Progressive,1298,1,no,4,2,44
Progressive,779,1,no,4,2,45
Progressive,835,1,no,4,2,46
Progressive,790,1,no,4,2,47
Progressive,946,0,no,4,2,48
Progressive,1118,1,no,4,2,49
Progressive,1224,1,no,4,2,50
Progressive,3981,0,no,5,2,51
Progressive,2330,1,no,5,2,52
Progressive,2756,1,no,5,2,53
Progressive,1954,1,no,5,2,54
Progressive,1692,1,no,5,2,55
Progressive,5001,0,no,5,2,56
Progressive,1835,1,no,5,2,57
Progressive,1858,0,no,5,2,58
Progressive,1429,1,no,5,2,59
Progressive,1724,1,no,5,2,60
Randomised,1779,1,no,4,2,5
Randomised,2184,1,no,3,2,6
Randomised,1254,1,no,2,2,7
Randomised,1117,1,no,1,2,8
Randomised,2610,1,no,5,2,9
Randomised,1606,1,no,5,2,10
Randomised,1058,1,no,1,2,11
Randomised,1489,1,no,3,2,12
Randomised,1253,0,no,2,2,13
Randomised,1597,1,no,4,2,14
Randomised,2578,1,no,5,2,15
Randomised,1132,1,no,1,2,16
Randomised,1369,1,no,2,2,17
Randomised,1322,1,no,3,2,18
Randomised,1231,1,no,4,2,19
Randomised,1315,1,no,3,2,20
Randomised,953,1,no,2,2,21
Randomised,1421,1,no,4,2,22
Randomised,1111,1,no,1,2,23
Randomised,2831,1,no,5,2,24
Randomised,838,1,no,4,2,25
Randomised,2086,0,no,5,2,26
Randomised,1497,1,no,3,2,27
Randomised,1095,1,no,1,2,28
Randomised,2065,1,no,2,2,29
Randomised,915,1,no,1,2,30
Randomised,2274,0,no,5,2,31
Randomised,1035,1,no,3,2,32
Randomised,1722,1,no,4,2,33
Randomised,1112,1,no,2,2,34
Randomised,725,1,no,1,2,35
Randomised,1404,1,no,4,2,36
Randomised,2559,1,no,2,2,37
Randomised,3283,0,no,5,2,38
Randomised,1345,1,no,3,2,39
Randomised,1188,1,no,2,2,40
Randomised,1019,0,no,4,2,41
Randomised,1133,1,no,1,2,42
Randomised,2724,0,no,5,2,43
Randomised,1100,1,no,3,2,44
Randomised,1903,1,no,2,2,45
Randomised,1359,1,no,3,2,46
Randomised,1565,1,no,1,2,47
Randomised,3497,1,no,5,2,48
Randomised,890,1,no,4,2,49
Randomised,1188,1,no,2,2,50
Randomised,906,1,no,1,2,51
Randomised,982,1,no,4,2,52
Randomised,2002,1,no,5,2,53
Randomised,1408,1,no,3,2,54
Progressive,1676,1,no,1,3,5
Progressive,1143,1,no,1,3,6
Progressive,1247,1,no,1,3,7
Progressive,1024,1,no,1,3,8
Progressive,1609,1,no,1,3,9
Progressive,1243,1,no,1,3,10
Progressive,933,1,no,1,3,11
Progressive,1378,1,no,1,3,12
Progressive,1213,1,no,1,3,13
Progressive,1071,1,no,1,3,14
Progressive,1384,0,no,2,3,15
Progressive,2075,1,no,2,3,16
Progressive,1478,1,no,2,3,17
Progressive,1640,1,no,2,3,18
Progressive,1539,1,no,2,3,19
Progressive,2653,1,no,2,3,20
Progressive,1716,1,no,2,3,21
Progressive,1898,1,no,2,3,22
Progressive,1955,1,no,2,3,23
Progressive,1646,1,no,2,3,24
Progressive,1880,1,no,2,3,25
Progressive,1855,1,no,2,3,26
Progressive,3348,1,no,3,3,27
Progressive,1436,1,no,3,3,28
Progressive,1925,1,no,3,3,29
Progressive,1445,1,no,3,3,30
Progressive,1459,1,no,3,3,31
Progressive,1148,1,no,3,3,32
Progressive,1916,1,no,3,3,33
Progressive,1362,1,no,3,3,34
Progressive,1506,1,no,3,3,35
Progressive,1898,1,no,3,3,36
Progressive,1918,1,no,4,3,37
Progressive,2173,1,no,4,3,38
Progressive,2658,1,no,4,3,39
Progressive,1265,1,no,4,3,40
Progressive,2491,1,no,4,3,41
Progressive,2901,1,no,4,3,42
Progressive,2010,1,no,4,3,43
Progressive,1113,1,no,4,3,44
Progressive,1657,1,no,4,3,45
Progressive,1417,1,no,4,3,46
Progressive,4558,1,no,5,3,47
Progressive,4526,1,no,5,3,48
Progressive,3721,1,no,5,3,49
Progressive,3507,1,no,5,3,50
Progressive,4180,1,no,5,3,51
Progressive,4043,1,no,5,3,52
Progressive,3564,1,no,5,3,53
Progressive,3133,1,no,5,3,54
Progressive,3087,1,no,5,3,55
Progressive,5001,0,no,5,3,56
Randomised,2164,1,no,3,3,5
Randomised,2597,1,no,4,3,6
Randomised,1822,1,no,2,3,7
Randomised,5001,0,no,5,3,8
Randomised,2114,1,no,1,3,9
Randomised,2054,1,no,3,3,10
Randomised,1432,1,no,1,3,11
Randomised,1978,1,no,2,3,12
Randomised,1654,1,no,4,3,13
Randomised,5001,0,no,5,3,14
Randomised,3957,1,no,5,3,15
Randomised,1784,1,no,4,3,16
Randomised,2111,1,no,2,3,17
Randomised,1360,1,no,1,3,18
Randomised,1353,1,no,3,3,19
Randomised,3412,1,no,5,3,20
Randomised,2987,1,no,3,3,21
Randomised,1509,1,no,1,3,22
Randomised,1810,1,no,2,3,23
Randomised,1391,1,no,4,3,24
Randomised,2095,1,no,4,3,25
Randomised,1590,1,no,1,3,26
Randomised,4763,1,no,3,3,27
Randomised,2882,1,no,2,3,28
Randomised,2742,1,no,5,3,29
Randomised,1723,1,no,3,3,30
Randomised,1293,0,no,1,3,31
Randomised,5001,0,no,5,3,32
Randomised,2034,1,no,4,3,33
Randomised,2798,1,no,2,3,34
Randomised,1140,1,no,1,3,35
Randomised,1659,1,no,4,3,36
Randomised,4317,1,no,5,3,37
Randomised,2003,1,no,3,3,38
Randomised,2966,1,no,2,3,39
Randomised,1609,1,no,1,3,40
Randomised,3591,1,no,5,3,41
Randomised,2425,1,no,3,3,42
Randomised,1703,1,no,4,3,43
Randomised,2793,1,no,2,3,44
Randomised,2157,1,no,1,3,45
Randomised,2691,1,no,4,3,46
Randomised,2725,1,no,3,3,47
Randomised,2063,1,no,2,3,48
Randomised,4026,1,no,5,3,49
Randomised,5001,0,no,5,3,50
Randomised,3158,0,no,2,3,51
Randomised,1778,1,no,1,3,52
Randomised,1421,1,no,4,3,53
Randomised,3613,1,no,3,3,54
Progressive,1688,1,no,1,4,5
Progressive,884,1,no,1,4,6
Progressive,1269,1,no,1,4,7
Progressive,1189,1,no,1,4,8
Progressive,948,1,no,1,4,9
Progressive,888,1,no,1,4,10
Progressive,768,1,no,1,4,11
Progressive,1455,1,no,1,4,12
Progressive,1364,1,no,1,4,13
Progressive,977,1,no,1,4,14
Progressive,2516,1,no,2,4,15
Progressive,2369,1,no,2,4,16
Progressive,2397,1,no,2,4,17
Progressive,1895,1,no,2,4,18
Progressive,1587,1,no,2,4,19
Progressive,2043,1,no,2,4,20
Progressive,1338,1,no,2,4,21
Progressive,1613,1,no,2,4,22
Progressive,1574,1,no,2,4,23
Progressive,1369,1,no,2,4,24
Progressive,4685,1,no,3,4,25
Progressive,2493,0,no,3,4,26
Progressive,1361,1,no,3,4,27
Progressive,1139,1,no,3,4,28
Progressive,819,1,no,3,4,29
Progressive,616,1,no,3,4,30
Progressive,1750,1,no,3,4,31
Progressive,783,1,no,3,4,32
Progressive,1424,1,no,3,4,33
Progressive,2054,1,no,3,4,34
Progressive,964,1,no,3,4,35
Progressive,2938,1,no,3,4,36
Progressive,3624,1,no,4,4,37
Progressive,2992,1,no,4,4,38
Progressive,1411,1,no,4,4,39
Progressive,1294,1,no,4,4,40
Progressive,1414,1,no,4,4,41
Progressive,1538,1,no,4,4,42
Progressive,1538,1,no,4,4,43
Progressive,2309,1,no,4,4,44
Progressive,1352,1,no,4,4,45
Progressive,1478,1,no,4,4,46
Progressive,4125,1,no,5,4,47
Progressive,3950,1,no,5,4,48
Progressive,2013,0,no,5,4,49
Progressive,2008,1,no,5,4,50
Progressive,2928,1,no,5,4,51
Progressive,3321,1,no,5,4,52
Progressive,2901,1,no,5,4,53
Progressive,2871,1,no,5,4,54
Progressive,1983,1,no,5,4,55
Progressive,3074,1,no,5,4,56
Randomised,2201,1,no,4,4,5
Randomised,2598,1,no,2,4,6
Randomised,1230,1,no,1,4,7
Randomised,2226,1,no,3,4,8
Randomised,3776,1,no,5,4,9
Randomised,1914,1,no,2,4,10
Randomised,1031,1,no,1,4,11
Randomised,3240,1,no,4,4,12
Randomised,2119,1,no,3,4,13
Randomised,3521,1,no,5,4,14
Randomised,1512,1,no,4,4,15
Randomised,1391,1,no,2,4,16
Randomised,4892,1,no,5,4,17
Randomised,1125,1,no,1,4,18
Randomised,1116,1,no,3,4,19
Randomised,1477,1,no,4,4,20
Randomised,1020,1,no,3,4,21
Randomised,1033,1,no,2,4,22
Randomised,2411,1,no,5,4,23
Randomised,1476,1,no,1,4,24
Randomised,2431,1,no,4,4,25
Randomised,2738,1,no,2,4,26
Randomised,796,1,no,1,4,27
Randomised,5001,0,no,5,4,28
Randomised,1313,1,no,3,4,29
Randomised,1961,1,no,3,4,30
Randomised,1620,1,no,4,4,31
Randomised,2148,1,no,2,4,32
Randomised,3166,1,no,5,4,33
Randomised,1599,1,no,1,4,34
Randomised,1066,1,no,2,4,35
Randomised,1536,1,no,3,4,36
Randomised,1249,1,no,4,4,37
Randomised,4627,0,no,5,4,38
Randomised,2079,1,no,1,4,39
Randomised,936,1,no,4,4,40
Randomised,1238,1,no,3,4,41
Randomised,3048,1,no,5,4,42
Randomised,1250,1,no,1,4,43
Randomised,2276,1,no,2,4,44
Randomised,1289,1,no,1,4,45
Randomised,1823,1,no,2,4,46
Randomised,3307,0,no,4,4,47
Randomised,1254,1,no,3,4,48
Randomised,4391,0,no,5,4,49
Randomised,1589,1,no,4,4,50
Randomised,1781,1,no,3,4,51
Randomised,1023,1,no,1,4,52
Randomised,1064,0,no,2,4,53
Randomised,3531,0,no,5,4,54
Progressive,1715,1,no,1,5,5
Progressive,1544,1,no,1,5,6
Progressive,1803,1,no,1,5,7
Progressive,1506,1,no,1,5,8
Progressive,1623,1,no,1,5,9
Progressive,1303,1,no,1,5,10
Progressive,1247,1,no,1,5,11
Progressive,1076,1,no,1,5,12
Progressive,1598,1,no,1,5,13
Progressive,1189,1,no,1,5,14
Progressive,2599,1,no,2,5,15
Progressive,1740,1,no,2,5,16
Progressive,2777,1,no,2,5,17
Progressive,5001,0,no,2,5,18
Progressive,2501,1,no,2,5,19
Progressive,2850,1,no,2,5,20
Progressive,1678,1,no,2,5,21
Progressive,2278,1,no,2,5,22
Progressive,2390,1,no,2,5,23
Progressive,2155,1,no,2,5,24
Progressive,1947,1,no,2,5,25
Progressive,1207,1,no,2,5,26
Progressive,2062,1,no,3,5,27
Progressive,5001,0,no,3,5,28
Progressive,1690,1,no,3,5,29
Progressive,3594,0,no,3,5,30
Progressive,1246,1,no,3,5,31
Progressive,1289,1,no,3,5,32
Progressive,5000,0,no,3,5,33
Progressive,2281,1,no,3,5,34
Progressive,2006,1,no,3,5,35
Progressive,3276,0,no,3,5,36
Progressive,2391,1,no,3,5,37
Progressive,1456,1,no,3,5,38
Progressive,1723,1,no,3,5,39
Progressive,2231,1,no,3,5,40
Progressive,3274,0,no,3,5,41
Progressive,1085,1,no,3,5,42
Progressive,2500,1,no,3,5,43
Progressive,1219,1,no,3,5,44
Progressive,3731,1,no,3,5,45
Progressive,2969,1,no,3,5,46
Progressive,2630,1,no,4,5,47
Progressive,1921,1,no,4,5,48
Progressive,2177,1,no,4,5,49
Progressive,1597,1,no,4,5,50
Progressive,4740,0,no,4,5,51
Progressive,1766,1,no,4,5,52
Progressive,2405,0,no,4,5,53
Progressive,2635,1,no,4,5,54
Progressive,2028,1,no,4,5,55
Progressive,2237,1,no,4,5,56
Progressive,2775,1,no,4,5,57
Progressive,1589,1,no,4,5,58
Progressive,1402,1,no,4,5,59
Progressive,1671,1,no,4,5,60
Progressive,5001,0,no,5,5,61
Progressive,3448,1,no,5,5,62
Progressive,4135,1,no,5,5,63
Progressive,3861,0,no,5,5,64
Progressive,3377,0,no,5,5,65
Progressive,4453,1,no,5,5,66
Progressive,3878,1,no,5,5,67
Progressive,3503,1,no,5,5,68
Progressive,4391,0,no,5,5,69
Progressive,3308,1,no,5,5,70
Randomised,5002,0,no,4,5,5
Randomised,5001,0,no,2,5,6
Randomised,3993,0,no,5,5,7
Randomised,2861,1,no,3,5,8
Randomised,1974,1,no,1,5,9
Randomised,4998,1,no,5,5,10
Randomised,1663,1,no,1,5,11
Randomised,3459,1,no,4,5,12
Randomised,1314,1,no,2,5,13
Randomised,4211,0,no,3,5,14
Randomised,1594,1,no,1,5,15
Randomised,3815,1,no,4,5,16
Randomised,2653,1,no,3,5,17
Randomised,5000,0,no,5,5,18
Randomised,2915,1,no,2,5,19
Randomised,2677,1,no,3,5,20
Randomised,3565,1,no,5,5,21
Randomised,1310,1,no,1,5,22
Randomised,2340,1,no,4,5,23
Randomised,3635,0,no,2,5,24
Randomised,4071,1,no,3,5,25
Randomised,1571,1,no,1,5,26
Randomised,4307,1,no,5,5,27
Randomised,1917,1,no,4,5,28
Randomised,4055,1,no,2,5,29
Randomised,5000,0,no,5,5,30
Randomised,1494,1,no,2,5,31
Randomised,2177,1,no,4,5,32
Randomised,1383,1,no,3,5,33
Randomised,1430,1,no,1,5,34
Randomised,1905,1,no,3,5,35
Randomised,1339,1,no,1,5,36
Randomised,5001,0,no,5,5,37
Randomised,1854,1,no,2,5,38
Randomised,3212,1,no,4,5,39
Randomised,1658,1,no,4,5,40
Randomised,4630,0,no,5,5,41
Randomised,1772,1,no,3,5,42
Randomised,1122,1,no,1,5,43
Randomised,1818,1,no,2,5,44
Randomised,2018,1,no,2,5,45
Randomised,1074,1,no,4,5,46
Randomised,1560,1,no,3,5,47
Randomised,1498,1,no,1,5,48
Randomised,3398,0,no,5,5,49
Randomised,3802,1,no,2,5,50
Randomised,1065,1,no,1,5,51
Randomised,1498,0,no,3,5,52
Randomised,4615,0,no,5,5,53
Randomised,5001,0,no,4,5,54
Progressive,1632,1,no,1,6,5
Progressive,1426,1,no,1,6,6
Progressive,1532,1,no,1,6,7
Progressive,1195,1,no,1,6,8
Progressive,1343,1,no,1,6,9
Progressive,1298,1,no,1,6,10
Progressive,1202,1,no,1,6,11
Progressive,1342,1,no,1,6,12
Progressive,1383,1,no,1,6,13
Progressive,1286,1,no,1,6,14
Progressive,1870,1,no,2,6,15
Progressive,2129,1,no,2,6,16
Progressive,2619,1,no,2,6,17
Progressive,1702,1,no,2,6,18
Progressive,1972,1,no,2,6,19
Progressive,1642,1,no,2,6,20
Progressive,1784,1,no,2,6,21
Progressive,1946,1,no,2,6,22
Progressive,1288,1,no,2,6,23
Progressive,1802,1,no,2,6,24
Progressive,3166,1,no,3,6,25
Progressive,1917,1,no,3,6,26
Progressive,3703,1,no,3,6,27
Progressive,2998,1,no,3,6,28
Progressive,1779,1,no,3,6,29
Progressive,4307,1,no,3,6,30
Progressive,4295,0,no,3,6,31
Progressive,1393,1,no,3,6,32
Progressive,2662,0,no,3,6,33
Progressive,1926,1,no,3,6,34
Progressive,1654,1,no,3,6,35
Progressive,2807,0,no,3,6,36
Progressive,2534,0,no,3,6,37
Progressive,2924,1,no,3,6,38
Progressive,2106,1,no,3,6,39
Progressive,1836,1,no,3,6,40
Progressive,1444,1,no,3,6,41
Progressive,2010,1,no,3,6,42
Progressive,5001,0,no,4,6,43
Progressive,2529,1,no,4,6,44
Progressive,2160,1,no,4,6,45
Progressive,2356,1,no,4,6,46
Progressive,2703,0,no,4,6,47
Progressive,1409,1,no,4,6,48
Progressive,4127,1,no,4,6,49
Progressive,2649,1,no,4,6,50
Progressive,1462,1,no,4,6,51
Progressive,3500,1,no,4,6,52
Progressive,3870,1,no,4,6,53
Progressive,2413,1,no,4,6,54
Progressive,1563,1,no,4,6,55
Progressive,2808,1,no,4,6,56
Progressive,3580,1,no,5,6,57
Progressive,3580,1,no,5,6,58
Progressive,3863,0,no,5,6,59
Progressive,2536,1,no,5,6,60
Progressive,3424,1,no,5,6,61
Progressive,4419,1,no,5,6,62
Progressive,3156,1,no,5,6,63
Progressive,2323,1,no,5,6,64
Progressive,2441,1,no,5,6,65
Progressive,4321,1,no,5,6,66
Randomised,2204,1,no,2,6,5
Randomised,4488,1,no,3,6,6
Randomised,1282,1,no,1,6,7
Randomised,3671,1,no,5,6,8
Randomised,1900,1,no,4,6,9
Randomised,2174,1,no,1,6,10
Randomised,2004,1,no,2,6,11
Randomised,3013,0,no,4,6,12
Randomised,4447,1,no,5,6,13
Randomised,2439,1,no,3,6,14
Randomised,1393,1,no,1,6,15
Randomised,1450,1,no,4,6,16
Randomised,1555,1,no,3,6,17
Randomised,1807,1,no,2,6,18
Randomised,5001,0,no,5,6,19
Randomised,1970,1,no,3,6,20
Randomised,1407,1,no,4,6,21
Randomised,2356,1,no,2,6,22
Randomised,2586,1,no,5,6,23
Randomised,1477,1,no,1,6,24
Randomised,1249,1,no,1,6,25
Randomised,3659,1,no,5,6,26
Randomised,2602,1,no,4,6,27
Randomised,2104,1,no,3,6,28
Randomised,2874,1,no,2,6,29
Randomised,2510,1,no,4,6,30
Randomised,1541,1,no,1,6,31
Randomised,1827,1,no,2,6,32
Randomised,4678,1,no,5,6,33
Randomised,1766,1,no,3,6,34
Randomised,1408,1,no,1,6,35
Randomised,3014,0,no,3,6,36
Randomised,1846,1,no,2,6,37
Randomised,3569,1,no,5,6,38
Randomised,1745,1,no,4,6,39
Randomised,1425,1,no,1,6,40
Randomised,1472,1,no,3,6,41
Randomised,1421,1,no,2,6,42
Randomised,2824,1,no,4,6,43
Randomised,4286,1,no,5,6,44
Randomised,1537,1,no,1,6,45
Randomised,5001,0,no,5,6,46
Randomised,1743,1,no,4,6,47
Randomised,3295,1,no,2,6,48
Randomised,2833,0,no,3,6,49
Randomised,3307,1,no,2,6,50
Randomised,1774,1,no,3,6,51
Randomised,5001,0,no,5,6,52
Randomised,1443,1,no,1,6,53
Randomised,2906,0,no,4,6,54
